wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
Ses01M_impro01_F000,0,0.031213578,0.08417584,0.038141176,0.074892856,0.678082191780822,-0.3327673766762018,0.11615495577866237,0.6716311724233053,-373.5099,105.06808,123.694176,38.177197,-32.30479,61.326008,7.981908,16.464352,18.03524,10.898447,-8.529006,20.32869,8.471931,10.117711,1.1965865,7.5577445,-2.796264,7.242026,11.312883,9.868013,-0.92063415,8.691163,-4.540962,8.865949,3.750051,7.888231
Ses01M_impro01_F001,0,0.028566057,0.04696335,0.035969485,0.030096369,0.288135593220339,-7.59813190143177e-05,0.11107531940432494,0.4355129862588352,-356.48376,51.756374,185.72374,29.86245,-30.21812,28.19757,5.3208866,18.409552,31.703516,16.794842,-7.8043137,17.74418,4.0407534,14.339339,0.58095187,13.536803,-18.546532,10.511873,-3.8921802,11.05539,-1.033096,7.408737,-5.5174093,9.276402,2.4581378,10.109358
Ses01M_impro01_F002,8,0.033233862,0.052774467,0.04189366,0.03202752,0.23384615384615384,-0.007963762072904501,0.15314231343889306,0.9684934579356425,-360.26886,57.687176,190.10298,36.58943,-39.71529,29.612381,10.394427,26.53112,33.538364,18.511549,-8.435427,14.199581,9.682307,16.411842,1.4887756,10.611092,-18.316618,13.372114,-3.0874617,11.3389015,-3.502121,7.546637,-3.8812048,8.642364,1.6782883,9.566792
Ses01M_impro01_F003,8,0.010152713,0.017512113,0.013108186,0.011582386,0.3841642228739003,-0.019876133592333645,0.013831756960838161,0.10319781828582641,-447.4777,53.092304,195.4555,35.46265,-53.415253,27.689207,24.326063,24.882883,33.134766,14.950615,-14.699285,12.110874,21.691921,15.227619,2.373778,8.896248,-16.010115,11.0992365,10.284046,11.792349,-4.019034,9.480603,-3.5086608,7.3608356,10.541883,7.6948123
Ses01M_impro01_F004,4,0.017333327,0.03409689,0.022023125,0.025986245,0.40458015267175573,-0.005311091626936104,0.03911853562930135,0.23623912610988565,-398.61737,55.51384,154.77179,34.628075,-11.978233,33.55024,1.5030339,18.42324,22.020687,16.503555,-1.1682569,14.703363,8.381779,12.839766,4.552724,8.654048,-14.055916,12.085617,-4.2228694,11.276601,1.3398342,9.788023,-4.5082436,9.643844,0.476156,11.454635
Ses01M_impro01_F005,8,0.0105624655,0.023015773,0.0135105625,0.018608976,0.6545454545454545,-0.009654782843426801,0.013884178557435978,0.09805046236145418,-477.92792,70.98704,176.6611,43.03061,-16.058851,27.313156,11.669629,18.761063,29.086359,14.768689,-6.3084793,12.009041,8.880546,10.910229,7.2922783,7.8962407,-10.735361,11.5093975,2.3132741,10.52546,4.0055737,8.902119,-1.6518787,6.8072248,5.821003,7.3378315
Ses01M_impro01_F006,8,0.029961992,0.060764786,0.0378753,0.04733533,0.3632075471698113,-0.003768916030821856,0.11781273178835816,0.6588764866865064,-363.44077,82.784294,165.34834,41.34936,-23.104195,40.558723,2.9119337,18.128712,34.420143,20.42241,-1.6395124,17.384645,-3.393366,12.586989,2.1263793,10.106746,-5.5635977,10.7065325,-1.7981465,10.522819,-3.1105945,9.211465,-6.0484195,9.072406,-0.73849994,7.2798543
Ses01M_impro01_F007,0,0.038312554,0.06558642,0.047453083,0.045202073,0.38305084745762713,-0.0029937882572994567,0.19859421737503577,1.2527256516734415,-372.5458,79.51199,168.84903,42.795998,-29.28372,36.935486,14.5487585,29.005503,35.415447,22.542894,-10.171086,16.389389,0.6315753,13.156094,4.8039126,11.098982,-6.41086,10.322687,2.2328684,10.74247,-2.0917158,12.305913,-7.7085443,10.21251,-2.1822357,11.214724
Ses01M_impro01_F008,0,0.048061863,0.083037734,0.06119635,0.05608807,0.37577639751552794,-0.007505017947551096,0.31173720176731545,1.9259270067433898,-338.89612,79.76306,166.73204,39.679295,-37.931786,39.47698,7.7527165,22.12369,25.884584,19.61262,-17.652752,20.865572,0.6588475,14.124013,2.8288224,13.077748,-11.415705,12.251297,-0.61474115,10.9316025,-4.9906516,9.915299,-8.765918,10.2377405,-0.82306087,9.3401
Ses01M_impro01_F009,8,0.028007768,0.06193493,0.03610467,0.050235253,0.6125,-0.002049356680799974,0.09920960597262551,0.6745144519408267,-408.9957,97.89628,147.34346,48.199753,-6.9930553,45.55468,-2.714863,21.549807,15.563047,14.4577465,-2.5046957,18.068163,5.5502043,8.346942,6.305064,8.080585,-5.47805,12.789107,1.4501741,9.34075,5.062258,6.0636315,-2.6283116,11.594139,-3.0678625,11.144301
