,Unnamed: 0,wav_file,time_gap,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
0,0,Ses01M_impro01_F000,1.6900000000000013,0,0.031213578,0.08417584,0.038141176,0.074892856,0.678082191780822,-0.3327673766762018,0.1161549557786623,0.6716311724233053,-373.5099,105.06808,123.694176,38.177197,-32.30479,61.326008,7.981908,16.464352,18.03524,10.898447,-8.529006,20.32869,8.471931,10.117711,1.1965865,7.5577445,-2.796264,7.242026,11.312883,9.868013,-0.92063415,8.691163,-4.540962,8.865949,3.750051,7.888231
1,1,Ses01M_impro01_F001,2.049999999999999,0,0.028566057,0.04696335,0.035969485,0.030096369,0.288135593220339,-7.59813190143177e-05,0.1110753194043249,0.4355129862588352,-356.48376,51.756374,185.72374,29.86245,-30.21812,28.19757,5.3208866,18.409552,31.703516,16.794842,-7.8043137,17.74418,4.0407534,14.339339,0.58095187,13.536803,-18.546532,10.511873,-3.8921802,11.05539,-1.033096,7.408737,-5.5174093,9.276402,2.4581378,10.109358
2,4,Ses01M_impro01_F004,3.0375000000000014,1,0.017333327,0.03409689,0.022023125,0.025986245,0.4045801526717557,-0.0053110916269361,0.0391185356293013,0.2362391261098856,-398.61737,55.51384,154.77179,34.628075,-11.978233,33.55024,1.5030339,18.42324,22.020687,16.503555,-1.1682569,14.703363,8.381779,12.839766,4.552724,8.654048,-14.055916,12.085617,-4.2228694,11.276601,1.3398342,9.788023,-4.5082436,9.643844,0.476156,11.454635
3,7,Ses01M_impro01_F007,3.4200000000000017,0,0.038312554,0.06558642,0.047453083,0.045202073,0.3830508474576271,-0.0029937882572994,0.1985942173750357,1.2527256516734415,-372.5458,79.51199,168.84903,42.795998,-29.28372,36.935486,14.5487585,29.005503,35.415447,22.542894,-10.171086,16.389389,0.6315753,13.156094,4.8039126,11.098982,-6.41086,10.322687,2.2328684,10.74247,-2.0917158,12.305913,-7.7085443,10.21251,-2.1822357,11.214724
4,8,Ses01M_impro01_F008,3.7361,0,0.048061863,0.083037734,0.06119635,0.05608807,0.3757763975155279,-0.007505017947551,0.3117372017673154,1.9259270067433896,-338.89612,79.76306,166.73204,39.679295,-37.931786,39.47698,7.7527165,22.12369,25.884584,19.61262,-17.652752,20.865572,0.6588475,14.124013,2.8288224,13.077748,-11.415705,12.251297,-0.61474115,10.9316025,-4.9906516,9.915299,-8.765918,10.2377405,-0.82306087,9.3401
5,10,Ses01M_impro01_F010,2.020000000000003,1,0.020712493,0.046406567,0.025852943,0.038536195,0.5919540229885057,-0.0068960171120124,0.0540145384153083,0.2822111977930523,-422.4593,79.547714,145.27391,44.982643,1.6453251,33.61007,8.639661,23.039654,18.954084,14.501701,-1.0568032,13.967782,7.0175176,14.85239,2.23694,9.228796,-7.6552124,14.5723,3.2649155,10.443637,3.086243,6.9982347,-3.399823,9.261255,-0.21639441,12.233366
6,11,Ses01M_impro01_F011,2.1600000000000037,0,0.05646499,0.09669836,0.06996855,0.06636706,0.3101604278074866,-0.0482259893033187,0.4241932791937258,1.6144095576437263,-305.8228,52.71353,160.55962,30.470217,-42.244526,40.740913,-1.6267926,21.765814,23.486776,18.649279,-14.954264,15.023232,-4.6128607,14.01509,-3.5975757,10.278983,-11.631684,8.509661,-1.1696404,11.581565,-5.681159,9.209428,-4.5364923,9.307097,2.0893795,9.524985
7,12,Ses01M_impro01_F012,1.9249999999999972,0,0.025998892,0.06668458,0.032480456,0.05819349,0.6867469879518072,-0.0004685852843522,0.0834936229514869,0.4543981025574061,-402.17847,93.92807,137.65381,49.57738,-2.1150758,38.928337,3.014207,15.401362,18.07253,17.045702,-6.097784,22.409681,-0.31389076,11.328793,9.728447,9.708922,2.2502582,8.22507,0.71639186,7.8420663,-1.2366035,7.0665812,-3.7349377,10.700789,2.7837496,7.6641135
8,15,Ses01M_impro01_F015,6.010000000000005,1,0.043966606,0.08029666,0.055932153,0.05757455,0.3783783783783784,-0.008162394806277,0.2602284007318456,2.9810079773058655,-338.1912,93.00157,162.52153,44.900723,-34.11651,50.90083,-8.300059,25.600595,13.897593,16.604939,-13.900022,19.579762,3.1776326,12.249498,6.9901648,11.747182,-5.103927,11.38939,-0.25749978,10.445936,-3.221195,8.545747,-4.8471327,8.93326,-2.4331946,9.632747
9,19,Ses01M_impro01_F019,3.609999999999999,0,0.097198635,0.19397107,0.119200744,0.15274408,0.5112540192926045,0.2322483342140913,1.2455042078972776,12.565447271224391,-302.1631,131.51118,124.396126,61.310326,-22.672867,54.86172,14.403626,18.34885,18.970274,21.165012,-15.054683,25.024239,-0.56272566,14.637777,0.5843011,11.637003,-4.949024,14.389956,-0.53432924,9.3163595,-6.730169,12.372139,-1.3575616,9.614851,3.2158294,7.7316456
