wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,mel_mean,mel_std
Ses03M_script01_1_M027,0,0.0014180881,0.0026042503,0.001829372,0.0018488809,0.1590909090909091,-0.007469376669178,0.000264057495515,0.0013975774255871,-627.497,54.555534,207.76225,28.239908,-33.037594,28.384663,15.275596,13.226673,24.706789,6.9540863,-18.840483,14.257809,14.22164,10.9619465,10.827231,9.090841,-7.30992,6.8404484,7.982736,9.98431,-0.71134686,8.613032,-0.27193633,8.019467,10.9168005,7.5013328,-52.738842,20.31348
Ses02F_impro01_F021,0,0.016179709,0.02583669,0.02020346,0.01609738,0.1965909090909091,-0.0052391883400559,0.0356598473613372,0.7646271094893227,-409.6092,47.99486,157.40181,26.570375,-27.537024,31.697277,5.012658,26.412792,26.29572,21.455698,-14.612313,16.651752,-7.663122,17.085732,0.24999641,12.5958395,-7.3674,10.992418,-3.1549366,11.229521,-7.2436953,10.431236,-9.139963,10.376777,-4.043407,9.860428,-59.81749,16.968374
Ses05M_script01_1_M022,0,0.015386412,0.026471201,0.019415034,0.017969038,0.3265582655826558,-0.0036101232581131,0.031910133753361,0.6406242889768665,-445.91638,80.91936,167.06377,44.251453,-24.364328,40.920414,19.322977,28.254448,28.91052,20.603659,-13.480867,21.921257,5.451073,16.288347,0.51509136,10.759417,-15.048812,12.425244,0.2899447,12.842223,-1.8883446,11.836466,-3.5349793,9.782639,3.4502351,12.362805,-58.152218,18.940426
Ses04F_script01_1_M021,0,0.007773595,0.012739955,0.009700076,0.008247219,0.3363970588235294,-0.0077284985309233,0.0082877239497877,0.0991310618926478,-512.1785,59.72704,185.36101,37.649822,-20.698118,28.732681,19.599768,29.38821,34.45402,18.950323,-7.2616057,17.185694,4.404464,20.585552,-0.83106524,11.009147,-10.343159,14.540628,-0.059148677,11.520974,-7.6868267,10.152096,-3.5222006,7.3071327,4.3156147,7.8631115,-56.434723,19.242094
Ses04F_script03_2_F012,0,0.0042862576,0.0072947447,0.0053904746,0.004895503,0.3809523809523809,-0.008381913175981,0.0024970189733441,0.0131426134521628,-558.34296,61.027447,186.34933,30.582878,-17.536709,33.257393,17.301033,24.006144,30.724154,17.692312,-9.3946495,12.454525,8.522834,11.007381,7.8399496,9.123494,-5.859035,9.731733,4.3880925,7.9571457,-5.1328397,8.333847,-8.916962,9.56035,3.097343,7.9484897,-56.631927,18.939383
Ses01M_script03_2_F038,0,0.12119318,0.19985084,0.14779013,0.1341658,0.3004484304932735,1.713409903459251,1.957582603584227,23.68702483480544,-234.90976,79.74072,166.79112,36.692978,-58.30363,40.785156,10.319578,19.85026,25.81579,23.264654,-21.382742,21.376986,3.3274834,15.223284,-1.1803147,13.254764,-12.138758,10.5917015,0.018872386,11.631911,-12.075133,9.571967,-10.078525,10.400312,-1.3774978,10.127382,-55.481236,19.537878
Ses04M_script03_2_F032,0,0.0170914,0.027800899,0.021237785,0.017790647,0.2797619047619047,-0.0068128229031572,0.0401397437217652,0.1634233218580768,-415.28854,48.476326,188.24396,30.225334,-30.744844,30.59474,-2.304845,25.558575,17.79587,20.857843,-20.713707,23.018524,-4.891979,15.51245,-2.7119272,14.563071,-13.946922,9.06944,1.9424744,12.516051,0.47939372,12.076159,-5.069027,8.708503,1.5773197,8.89772,-56.18883,19.179459
Ses02M_script02_2_F005,0,0.01424931,0.02355201,0.017810395,0.015375136,0.2719167904903417,-0.007910891326901,0.0277407810857653,0.3778142658547066,-427.61423,61.578976,153.6663,29.39927,-41.491623,39.242996,4.220904,24.847826,17.890703,19.816458,-25.219433,22.031996,-0.34592086,16.240099,5.3949566,13.500607,-10.930725,9.975632,-1.4144561,11.316132,-6.593132,12.951291,-9.652591,9.1438055,1.1870506,9.12655,-58.864937,17.5045
Ses02M_script01_1_F027,0,0.0066552064,0.012147635,0.008476496,0.00868791,0.4498269896193771,-0.0061491282394854,0.0058939293015211,0.0376875016459762,-520.9215,75.4213,174.31343,33.49249,-26.63506,41.38395,14.208707,24.182806,26.214123,15.684899,-14.981398,16.220194,7.670211,15.379387,9.544563,10.809519,-4.53766,10.086197,6.536989,11.394196,-1.4371912,9.649091,-6.9971952,9.694451,2.5145953,6.0421243,-57.368385,18.89447
Ses03M_impro05a_M018,0,0.057632416,0.09922008,0.07123177,0.0690271,0.4045801526717557,-0.0310255381918977,0.4455079305436599,4.989103006924764,-329.32742,98.88923,149.05179,43.906986,-60.594086,48.487625,-6.078949,17.807425,-1.7161534,18.376606,-36.673107,26.919853,3.6471097,14.445829,-2.2938373,14.229544,-17.020765,14.763823,1.12987,10.374006,-9.664806,10.546786,-4.4121118,8.901147,8.724043,9.300061,-57.67759,19.585167
