Unnamed: 0,wav_file,time_gap,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
0,Ses01M_impro01_F000,1.6900000000000013,0,0.031213578,0.08417584,0.038141176,0.074892856,0.678082191780822,-0.3327673766762018,0.1161549557786623,0.6716311724233053,-373.5099,105.06808,123.694176,38.177197,-32.30479,61.326008,7.981908,16.464352,18.03524,10.898447,-8.529006,20.32869,8.471931,10.117711,1.1965865,7.5577445,-2.796264,7.242026,11.312883,9.868013,-0.92063415,8.691163,-4.540962,8.865949,3.750051,7.888231
1,Ses01M_impro01_F001,2.049999999999999,0,0.028566057,0.04696335,0.035969485,0.030096369,0.288135593220339,-7.59813190143177e-05,0.1110753194043249,0.4355129862588352,-356.48376,51.756374,185.72374,29.86245,-30.21812,28.19757,5.3208866,18.409552,31.703516,16.794842,-7.8043137,17.74418,4.0407534,14.339339,0.58095187,13.536803,-18.546532,10.511873,-3.8921802,11.05539,-1.033096,7.408737,-5.5174093,9.276402,2.4581378,10.109358
7,Ses01M_impro01_F007,3.4200000000000017,0,0.038312554,0.06558642,0.047453083,0.045202073,0.3830508474576271,-0.0029937882572994,0.1985942173750357,1.2527256516734415,-372.5458,79.51199,168.84903,42.795998,-29.28372,36.935486,14.5487585,29.005503,35.415447,22.542894,-10.171086,16.389389,0.6315753,13.156094,4.8039126,11.098982,-6.41086,10.322687,2.2328684,10.74247,-2.0917158,12.305913,-7.7085443,10.21251,-2.1822357,11.214724
8,Ses01M_impro01_F008,3.7361,0,0.048061863,0.083037734,0.06119635,0.05608807,0.3757763975155279,-0.007505017947551,0.3117372017673154,1.9259270067433896,-338.89612,79.76306,166.73204,39.679295,-37.931786,39.47698,7.7527165,22.12369,25.884584,19.61262,-17.652752,20.865572,0.6588475,14.124013,2.8288224,13.077748,-11.415705,12.251297,-0.61474115,10.9316025,-4.9906516,9.915299,-8.765918,10.2377405,-0.82306087,9.3401
11,Ses01M_impro01_F011,2.1600000000000037,0,0.05646499,0.09669836,0.06996855,0.06636706,0.3101604278074866,-0.0482259893033187,0.4241932791937258,1.6144095576437263,-305.8228,52.71353,160.55962,30.470217,-42.244526,40.740913,-1.6267926,21.765814,23.486776,18.649279,-14.954264,15.023232,-4.6128607,14.01509,-3.5975757,10.278983,-11.631684,8.509661,-1.1696404,11.581565,-5.681159,9.209428,-4.5364923,9.307097,2.0893795,9.524985
12,Ses01M_impro01_F012,1.9249999999999972,0,0.025998892,0.06668458,0.032480456,0.05819349,0.6867469879518072,-0.0004685852843522,0.0834936229514869,0.4543981025574061,-402.17847,93.92807,137.65381,49.57738,-2.1150758,38.928337,3.014207,15.401362,18.07253,17.045702,-6.097784,22.409681,-0.31389076,11.328793,9.728447,9.708922,2.2502582,8.22507,0.71639186,7.8420663,-1.2366035,7.0665812,-3.7349377,10.700789,2.7837496,7.6641135
19,Ses01M_impro01_F019,3.609999999999999,0,0.097198635,0.19397107,0.119200744,0.15274408,0.5112540192926045,0.2322483342140913,1.2455042078972776,12.565447271224391,-302.1631,131.51118,124.396126,61.310326,-22.672867,54.86172,14.403626,18.34885,18.970274,21.165012,-15.054683,25.024239,-0.56272566,14.637777,0.5843011,11.637003,-4.949024,14.389956,-0.53432924,9.3163595,-6.730169,12.372139,-1.3575616,9.614851,3.2158294,7.7316456
20,Ses01M_impro01_F020,3.3299999999999983,0,0.06457472,0.13069513,0.07920802,0.10390661,0.445993031358885,-0.0720161115168593,0.5462283073536354,4.259038440885727,-307.58582,113.759636,146.3225,55.79124,-28.19282,50.519665,9.49058,23.173332,14.847871,20.429003,-15.289017,23.021317,9.051176,13.59961,4.5873804,9.072328,-7.2361317,10.394017,1.5751182,9.646758,-4.791118,10.750947,0.46403158,8.041208,5.4539824,8.74112
21,Ses01M_impro01_F021,4.9125000000000085,0,0.076971,0.14237654,0.09388368,0.10684193,0.410377358490566,0.1583645935170352,0.7698805266542901,8.890108391582405,-282.16083,68.184944,155.84386,34.59923,-34.314133,37.63269,-3.1892867,22.896029,15.234798,18.009743,-15.361208,20.847925,1.9979812,12.121979,4.1686635,12.410969,-8.067531,10.958269,-2.953163,10.501106,-5.3294353,10.6767845,-3.3760102,9.20487,-0.5462962,11.211098
22,Ses01M_impro01_F022,10.689999999999998,0,0.112152204,0.18763338,0.137691,0.12742324,0.3311617806731813,-0.2809048455674201,1.693563303907039,34.925627736092224,-251.5671,93.985374,159.45634,41.8631,-46.71651,50.900917,-1.0406555,22.323112,19.111715,19.313198,-16.881432,21.322018,-1.4299681,16.264538,-3.4282873,11.954608,-10.1728525,10.860798,-0.7263479,11.276369,-7.2888684,11.338569,-4.389381,11.311811,-1.3294406,10.273568
51,Ses01M_impro01_M020,3.620000000000005,0,0.13018303,0.20760216,0.15997058,0.13217872,0.25,0.2216449647676199,2.3085088214989296,14.784427581035263,-219.57468,64.27688,167.41089,28.639093,-53.81722,33.009403,8.908407,24.230856,24.237309,23.67631,-26.505552,20.99427,-4.2730656,15.4521475,-1.9676471,12.51825,-13.420711,12.329077,-5.019687,10.55324,-12.024921,11.286506,-6.905959,8.704962,-1.4358698,9.386394
56,Ses01M_impro01_M025,3.345000000000013,0,0.1721456,0.2563581,0.20887978,0.1477231,0.2768166089965398,-0.8858449291437864,4.2097794739201735,22.627819734067987,-206.99763,100.02297,170.26273,44.593334,-74.281166,44.816875,-2.6260128,17.936043,17.416023,12.641164,-27.394161,20.53937,-2.5482945,14.823534,-6.38348,13.489277,-11.504675,10.110087,0.31353924,10.800061,-10.698057,11.239771,-0.54898703,8.289551,4.1825643,8.805133
61,Ses01M_impro01_M030,1.1200000000000043,0,0.052834995,0.0947806,0.0654021,0.068010524,0.4329896907216495,-0.0118340749395429,0.3844147229644046,1.0021888434726065,-367.50394,103.177086,173.93124,54.541767,-15.928208,45.905827,-6.4434066,25.572578,13.773357,20.452768,-13.863565,19.216486,-11.093317,13.346064,-3.9488199,9.40986,1.1716287,10.019437,5.648197,7.836649,-4.0655484,11.166553,-1.5849514,6.177425,2.7163393,10.011403
62,Ses01M_impro01_M031,2.6699999999999875,0,0.050289217,0.08412628,0.06202264,0.05682386,0.3391304347826087,-0.004296342467569,0.3505202952279599,1.6978931178370325,-332.85217,76.6035,159.15642,42.620956,-29.51063,41.731377,3.9308236,28.02805,27.871786,21.901981,-11.592549,16.990288,-7.464651,19.44305,-0.66929376,11.053966,-4.699555,12.794496,-1.2725403,11.063339,-5.5133195,9.667449,-3.5807219,9.149618,-3.4948592,11.014347
63,Ses01M_impro01_M032,5.510000000000019,0,0.05897425,0.08812619,0.07335548,0.048728477,0.2231578947368421,-0.002822378746714,0.4875741966870623,4.546391763578885,-310.51532,58.481106,176.66148,34.62872,-46.8471,32.312286,4.382077,28.343002,34.429077,27.849228,-14.476227,17.430067,-5.231732,19.552713,1.7344134,10.494096,-9.282705,11.3737755,-6.1809726,11.934398,-8.667399,9.790034,-4.019302,9.263172,-2.173347,12.128953
335,Ses01M_impro04_M014,1.2800000000000011,0,0.0037001816,0.0069340956,0.0046113213,0.005144483,0.027027027027027,-0.0086082818597787,0.0018045371270127,0.0063510319789784,-551.76544,33.865753,207.35431,26.792686,-21.16892,10.971575,19.618526,8.718482,26.768358,7.0065084,-14.267498,9.377515,14.836669,8.92364,8.123935,4.2769456,-8.045743,4.4218345,11.329123,5.05181,2.1654365,5.2264,-0.715925,3.9210773,11.611142,6.397263
339,Ses01M_impro04_M018,7.739999999999981,0,0.031526264,0.0597596,0.03888214,0.04535931,0.4047976011994003,-0.0098100044851889,0.1323133564391443,2.171736249530398,-362.785,71.97316,148.08487,46.296577,2.3462722,29.193584,3.2241294,20.308908,17.859474,19.023495,-2.4745514,16.706257,0.013840248,12.970035,-0.40996462,9.594585,-8.067359,11.6161,-3.0941718,9.559852,-2.7768795,8.263181,-2.9959297,8.882719,-0.044074886,8.741946
344,Ses01M_impro04_M023,6.302999999999997,0,0.023614196,0.04589115,0.029764783,0.034923315,0.3885819521178637,-0.0070624882937408,0.0747216445945529,0.98019946988085,-372.97623,67.568695,143.53862,43.23828,-6.876282,29.085041,11.145378,22.255213,22.734074,16.274967,-5.98886,18.774815,2.9113188,15.315966,5.6769133,9.162325,-4.537834,10.73561,-4.8035226,11.6079645,-7.529854,11.214431,-1.7118341,8.726946,2.7634835,9.620331
389,Ses01M_impro05_M004,4.887699999999999,0,0.025173223,0.037038814,0.03158093,0.019312967,0.1852731591448931,-0.0018761245428322,0.0895755037855327,0.7717604878403259,-390.15552,49.296978,202.89415,33.83347,-33.303524,28.236563,13.527248,28.601574,33.88764,21.678976,-9.7509165,15.6997175,7.254443,17.061962,2.1471312,9.352225,-12.568194,10.149018,-3.790256,11.463746,-9.98665,9.637048,-2.1866333,9.391739,6.049101,9.97877
390,Ses01M_impro05_M005,3.049999999999997,0,0.050413918,0.08458319,0.062450655,0.056974918,0.3041825095057034,-0.0067530877458921,0.3438240116820988,1.710698267261425,-314.08383,72.681435,157.25078,46.60028,-19.995926,38.66255,7.402911,36.361153,24.723372,20.699463,-8.248909,19.654371,-1.6721196,23.175827,-1.0046388,8.992795,-6.8932734,13.715441,-4.5549116,11.360743,-10.090287,11.240725,-1.2604733,13.438807,4.2219887,11.966879
391,Ses01M_impro05_M006,2.8200000000000003,0,0.08943721,0.16777325,0.108121134,0.12824088,0.4773662551440329,-0.2433905756333843,1.0467753019209474,6.121503719988816,-296.1176,104.36303,145.81053,55.064087,-23.976858,49.37245,-3.052567,26.28419,7.362368,14.141654,-14.002421,20.397495,2.793347,14.281265,-1.4444997,12.463365,-8.152432,11.536291,-0.14437866,10.52663,-5.8581386,10.021553,0.16656168,7.3361087,4.6676254,8.4746065
392,Ses01M_impro05_M007,3.754999999999995,0,0.07095611,0.11820105,0.08746247,0.079343565,0.3148148148148148,-0.0271052140305982,0.6917611228727165,4.306360279937475,-296.89255,86.07634,164.72552,43.746006,-42.99473,37.441967,5.4138675,23.603436,30.98731,23.065096,-12.538483,19.133514,-3.975886,17.268887,-2.4814422,12.076527,-10.21717,13.210022,-3.9430108,13.363614,-9.573009,12.6894455,-4.7766786,9.015362,-1.6298627,8.979424
393,Ses01M_impro05_M008,3.1850000000000023,0,0.040448118,0.09661946,0.048706744,0.083309084,0.6581818181818182,-0.0162322303367545,0.2054504478443059,1.8558833736847848,-386.72443,98.28583,129.17322,49.315895,-6.561235,47.08798,8.705917,16.664528,25.668756,19.815166,5.207808,18.239578,5.027441,12.041444,-1.3314009,10.245805,-7.126671,12.397657,-1.402916,6.911958,-3.3939815,11.312087,0.07621374,8.445066,3.2319238,6.145658
405,Ses01M_impro05_M020,2.5012000000000114,0,0.019063588,0.032258846,0.023891466,0.021612788,0.3611111111111111,-0.0073153146331605,0.0503313927951901,0.2381571354148503,-429.91702,72.855835,195.02425,47.52015,-2.5067797,22.687752,-2.043986,14.261313,22.899857,15.839695,-3.6492276,13.170219,0.21139202,12.228869,6.2059627,8.159004,-6.1102195,11.095589,-6.9303555,10.518785,-4.1483026,10.392472,0.4887879,8.240004,5.3844934,10.352724
406,Ses01M_impro05_M021,5.849999999999994,0,0.026012175,0.041698243,0.032393675,0.026248073,0.2837301587301587,-0.0080267982411896,0.0942927780713948,0.9324537249214344,-391.63242,64.27512,170.63885,40.078423,-9.30489,31.735767,7.2504272,26.26194,27.42143,20.209894,-5.4845853,14.760027,-2.9371564,16.075285,0.47357836,9.140086,-8.011106,11.021728,-6.358751,12.209301,-5.9828005,11.58179,0.34392276,10.486189,3.329803,8.914665
407,Ses01M_impro05_M022,5.829999999999984,0,0.028560521,0.050462887,0.035140444,0.03615773,0.415506958250497,-0.009508120456303,0.1108615760309396,1.266673179505782,-399.8922,71.03627,159.86543,40.889122,0.65311086,33.35848,2.8235824,22.713886,16.508352,17.157883,-6.588635,22.471457,-1.5998013,16.385134,2.435891,9.074679,-3.642524,11.076031,-4.025052,9.720671,-4.594586,10.529167,4.060117,9.099905,7.8048797,10.230956
408,Ses01M_impro05_M023,6.509999999999991,0,0.026978001,0.0492091,0.03360662,0.035929292,0.4295900178253119,-0.0064332298279623,0.096834735131002,1.350466080291167,-390.98987,74.42411,173.33542,43.36833,-13.624201,33.480507,3.7222567,21.97154,21.986599,15.923835,-6.83735,14.293471,1.4169054,13.893262,0.8418912,10.851477,-7.1986504,10.472961,-1.110519,9.113484,-4.195839,11.104374,1.4819053,8.786831,7.2776146,9.530142
409,Ses01M_impro05_M024,3.5,0,0.026947886,0.04287822,0.033737656,0.026399346,0.2450331125827814,-0.007391432973236,0.0999412038602683,0.7007301119292728,-379.43744,50.664993,196.38509,33.788773,-29.107668,30.851929,10.186228,27.423702,32.10404,21.15557,-11.764198,16.567657,2.042328,16.087994,1.6872072,8.308695,-12.4854765,11.548493,-1.9744763,10.172243,-5.1715493,10.53014,-4.5198436,7.631157,2.6210675,9.755327
410,Ses01M_impro05_M025,6.989999999999981,0,0.035832465,0.059771877,0.044785198,0.03950692,0.3399668325041459,-0.0046024365474295,0.1741529498479642,2.559388484872952,-354.47162,72.868614,166.7801,42.73923,-15.36448,34.841908,0.28220814,24.454874,26.854342,18.324005,-3.6781125,16.368008,-4.493821,17.426273,-0.8576105,8.642977,-8.800338,11.030627,-7.3388414,11.865359,-4.479121,10.942296,1.5497621,9.791766,1.2608585,9.441882
411,Ses01M_impro05_M026,6.719999999999999,0,0.04217695,0.06609963,0.052533258,0.04008093,0.2711571675302245,-0.0026586942567519,0.2474918405708814,2.7720814848660336,-331.18103,58.807873,168.49655,38.530148,-27.37637,30.172346,4.54253,27.58016,24.192684,19.273207,-10.513727,17.720018,1.9172161,18.85481,1.4512789,9.05438,-11.7987795,12.73944,-7.5146365,14.429598,-9.662881,10.87763,-3.4693859,9.700305,1.3591969,10.353641
412,Ses01M_impro05_M027,6.1825000000000045,0,0.018813863,0.032033183,0.02386966,0.021338915,0.24765478424015,0.0007038865987851,0.0486190326193931,0.5879919569080838,-388.3036,56.2328,175.30511,34.335884,-18.30369,28.539183,12.45223,24.483854,25.728521,17.708397,-9.014101,13.586796,7.337838,15.186474,2.6777527,9.832218,-12.44914,11.54506,-1.8412827,11.313587,-4.5449796,8.907797,-2.5861444,8.752174,4.418672,8.784712
413,Ses01M_impro05_M028,5.324999999999989,0,0.03387674,0.063033074,0.04141813,0.047484335,0.4379084967320261,-0.0019078688637819,0.1548018613489872,1.643945591412846,-377.16217,77.42753,150.84355,42.91402,-20.743563,37.81256,7.4999824,25.269716,28.379034,21.443363,-4.2057786,13.811133,0.13488543,16.329828,0.071269386,10.299596,-7.907733,11.126166,-3.636315,10.387303,-5.3161435,10.227108,0.9536459,11.140574,4.223955,10.227127
416,Ses01M_impro05_M031,2.427500000000009,0,0.009881454,0.027373519,0.012604734,0.02422949,0.5142857142857142,-0.0106109191619907,0.0122440450980357,0.0905990515358382,-446.21597,63.219788,159.09393,37.480995,-14.5630665,34.733265,10.222289,18.66852,22.874285,13.213939,-6.003171,13.037384,9.246864,10.453746,5.7631145,10.148481,-5.184125,8.786372,6.9650326,10.485382,1.9174706,9.165268,-0.7468491,5.7847567,6.352529,7.702933
